station,glatos_array,station_no,consecutive_deploy_no,intend_lat,intend_long,deploy_lat,deploy_long,recover_lat,recover_long,deploy_date_time,recover_date_time,bottom_depth,riser_length,instrument_depth,ins_model_no,glatos_ins_frequency,ins_serial_no,code_map,code_map_comment,deployed_by,comments,glatos_seasonal,glatos_project,glatos_vps
HAM-039,HAM,39,7,NA,NA,43.28176,-79.85158,NA,NA,2021-06-07T13:12:00Z,2022-06-09T18:23:00Z,17.9,NA,NA,VR2AR,69,549109,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-045,HAM,45,5,NA,NA,43.3046,-79.80238,NA,NA,2021-06-16T16:12:00Z,2022-09-01T15:45:00Z,1.2,NA,NA,VR2W,69,121991,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-023,HAM,23,10,NA,NA,43.28569,-79.86764,NA,NA,2021-06-16T17:00:00Z,2022-06-09T18:51:00Z,9,NA,NA,VR2AR,69,548243,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-043,HAM,43,6,NA,NA,43.27957,-79.8915,NA,NA,2021-06-16T17:20:00Z,2022-09-15T16:38:00Z,2,NA,NA,VR2W,69,121999,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-063,HAM,63,5,NA,NA,43.2822,-79.88451,NA,NA,2021-06-16T17:52:00Z,2022-09-15T15:59:00Z,1.5,NA,NA,VR2W,69,119660,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-017,HAM,17,9,NA,NA,43.29488,-79.82113,NA,NA,2021-06-16T18:00:00Z,2022-06-09T13:32:00Z,19.8,NA,NA,VR2AR,69,547993,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-041,HAM,41,8,NA,NA,43.2767,-79.83893,NA,NA,2021-06-16T18:18:00Z,2022-09-15T17:28:00Z,NA,NA,NA,VR2W,69,131525,MAP-113,NA,NA,NA,No,HAMLO,No
HAM-046,HAM,46,7,NA,NA,43.30771,-79.82588,NA,NA,2021-06-16T18:37:00Z,2022-09-15T18:34:00Z,2,NA,NA,VR2W,69,133002,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-009,HAM,9,10,NA,NA,43.28036,-79.80383,NA,NA,2021-06-17T17:00:00Z,2021-10-08T04:00:00Z,13,NA,NA,VR2W,69,127827,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-034,HAM,34,10,NA,NA,43.27142,-79.80812,NA,NA,2021-06-17T17:45:00Z,2022-09-15T18:13:00Z,1.6,NA,NA,VR2W,69,121993,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-048,HAM,48,6,NA,NA,43.27311,-79.88506,NA,NA,2021-06-17T19:05:00Z,2022-09-15T17:08:00Z,2.5,NA,NA,VR2W,69,133001,MAP-114,NA,NA,NA,No,HAMLO,No
