"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps","year","inside"
"1","HAM-001","HAM",1,9,NA,NA,43.30611,-79.81861,NA,NA,2021-10-20 14:07:00,2022-11-22 17:25:00,NA,NA,NA,"VR2W",69,127832,"MAP-114",NA,NA,NA,"No","HAMLO","No","2021",TRUE
"2","HAM-001","HAM",1,10,NA,NA,43.30537,-79.82082,NA,NA,2022-12-07 14:40:00,2023-11-23 18:30:00,11,NA,NA,"VR2W",69,127832,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"3","HAM-001","HAM",1,11,NA,NA,43.30528,-79.82083,NA,NA,2023-12-01 15:45:00,2024-12-02 17:46:00,11,NA,NA,"VR2W",69,127832,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"4","HAM-002","HAM",2,9,NA,NA,43.28685,-79.79576,NA,NA,2021-10-20 14:50:00,2022-11-22 16:43:00,22.3,NA,NA,"VR2W",69,127833,"MAP-114",NA,NA,NA,"No","HAMLO","No","2021",TRUE
"5","HAM-002","HAM",2,10,NA,NA,43.2869,-79.79491,NA,NA,2022-12-02 15:05:00,2023-11-20 19:20:00,22.4,NA,NA,"VR2W",69,127833,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"6","HAM-002","HAM",2,11,NA,NA,43.28528,-79.79556,NA,NA,2023-12-01 18:15:00,2024-12-02 15:38:00,22.4,NA,NA,"VR2W",69,127833,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"7","HAM-002","HAM",2,12,NA,NA,43.28528,-79.79556,NA,NA,2024-12-10 15:10:00,2025-11-24 14:00:00,22,NA,NA,"VR2W",69,127833,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"8","HAM-003","HAM",3,10,NA,NA,43.29461,-79.80053,NA,NA,2022-06-09 17:49:00,2023-07-10 14:25:00,17.6,NA,NA,"VR2AR",69,549114,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"9","HAM-003","HAM",3,11,NA,NA,43.29504,-79.79685,NA,NA,2023-07-10 14:44:00,2024-06-13 13:00:00,2.2,NA,NA,"VR2AR",69,547993,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"10","HAM-003","HAM",3,12,NA,NA,43.29504,-79.79685,NA,NA,2024-06-13 13:36:00,2025-07-03 14:15:00,15.6,NA,NA,"VR2AR",69,549102,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"11","HAM-003","HAM",3,13,NA,NA,43.29524,-79.79745,NA,NA,2025-07-03 14:30:00,2025-11-25 16:49:00,15.6,1.5,NA,"VR2AR",69,545558,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025",TRUE
"12","HAM-004","HAM",4,8,NA,NA,43.28714,-79.84452,NA,NA,2021-10-27 15:30:00,2022-11-22 15:05:00,25,NA,NA,"VR2W",69,131524,"MAP-114",NA,NA,NA,"No","HAMLO","No","2021",TRUE
"13","HAM-004","HAM",4,9,NA,NA,43.28639,-79.84778,NA,NA,2022-11-29 19:30:00,2023-11-24 16:10:00,23,NA,NA,"VR2W",69,131524,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"14","HAM-004","HAM",4,10,NA,NA,43.28667,-79.84556,NA,NA,2023-12-01 17:35:00,2024-11-18 15:24:00,23,NA,NA,"VR2W",69,131524,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"15","HAM-004","HAM",4,11,NA,NA,43.28667,-79.84556,NA,NA,2024-12-09 17:45:00,2025-11-25 14:00:00,23,NA,NA,"VR2W",69,131524,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"16","HAM-005","HAM",5,9,NA,NA,43.28133,-79.86433,NA,NA,2022-06-09 18:45:00,2023-07-10 15:28:00,15.3,NA,NA,"VR2AR",69,549109,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"17","HAM-005","HAM",5,10,NA,NA,43.28102,-79.86579,NA,NA,2023-07-10 15:35:00,2024-06-13 15:03:00,13.6,NA,NA,"VR2AR",69,549114,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"18","HAM-005","HAM",5,11,NA,NA,43.28102,-79.86579,NA,NA,2024-06-13 15:06:00,2025-07-10 14:27:00,13.8,NA,NA,"VR2AR",69,548282,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"19","HAM-005","HAM",5,12,NA,NA,43.28102,-79.86579,NA,NA,2025-07-10 14:33:00,2025-10-21 14:33:00,13.6,1.5,NA,"VR2AR",69,549115,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025",TRUE
"20","HAM-006","HAM",6,9,NA,NA,43.30664,-79.80837,NA,NA,2021-11-10 15:40:00,2022-11-17 16:27:00,8.2,NA,NA,"VR2W",69,127850,"MAP-113",NA,NA,NA,"No","HAMLO","No","2021",TRUE
"21","HAM-007","HAM",7,9,NA,NA,43.30139,-79.83972,NA,NA,2021-10-20 17:50:00,2022-11-17 16:05:00,10.2,NA,NA,"VR2W",69,126879,"MAP-114",NA,NA,NA,"No","HAMLO","No","2021",TRUE
"22","HAM-007","HAM",7,10,NA,NA,43.30139,-79.83917,NA,NA,2022-11-29 16:35:00,2023-12-01 16:00:00,9,NA,NA,"VR2W",69,126879,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"23","HAM-007","HAM",7,11,NA,NA,43.30145,-79.83985,NA,NA,2023-12-05 15:00:00,2024-12-03 16:30:00,8.8,NA,NA,"VR2W",69,126879,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"24","HAM-009","HAM",9,11,NA,NA,43.28036,-79.80383,NA,NA,2021-10-27 15:00:00,2022-09-15 17:57:00,13,NA,NA,"VR2W",69,127827,"MAP-114",NA,NA,NA,"No","HAMLO","No","2021",TRUE
"25","HAM-009","HAM",9,12,NA,NA,43.28036,-79.80383,NA,NA,2022-09-15 17:57:00,2023-08-16 14:57:00,13,NA,NA,"VR2W",69,127827,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"26","HAM-010","HAM",10,6,NA,NA,43.26856,-79.7815,NA,NA,2022-06-15 13:30:00,2022-11-08 15:30:00,2,NA,NA,"VR2W",69,131523,"MAP-115",NA,NA,NA,"Yes","HAMLO","No","2022",TRUE
"27","HAM-011","HAM",11,8,NA,NA,43.2773,-79.8669,NA,NA,2022-09-07 17:27:00,2023-09-14 16:58:00,12.6,NA,NA,"VR2W",69,119711,"MAP-115","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2022",TRUE
"28","HAM-011","HAM",11,9,NA,NA,43.2773,-79.8669,NA,NA,2023-09-14 17:32:00,2024-07-31 13:55:00,NA,NA,NA,"VR2W",69,119711,"MAP-115",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"29","HAM-011","HAM",11,10,NA,NA,43.2773,-79.8669,NA,NA,2024-07-31 13:58:00,2025-08-01 12:50:00,NA,NA,NA,"VR2W",69,119711,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"30","HAM-011","HAM",11,11,NA,NA,43.2773,-79.8669,NA,NA,2025-08-01 13:14:00,2025-11-19 17:18:00,12,3.2,NA,"VR2W",69,119711,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2025",TRUE
"31","HAM-012","HAM",12,11,NA,NA,43.30048,-79.80591,NA,NA,2022-09-15 19:10:00,2023-08-22 18:30:00,8,NA,NA,"VR2W",69,131525,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"32","HAM-013","HAM",13,10,NA,NA,43.29691,-79.80157,NA,NA,2022-09-13 16:31:00,2023-08-22 18:55:00,10,NA,NA,"VR2W",69,119681,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"33","HAM-013","HAM",13,11,NA,NA,43.29691,-79.80157,NA,NA,2023-08-22 19:30:00,2024-08-08 16:23:00,NA,NA,NA,"VR2W",69,131525,"MAP-115",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"34","HAM-015","HAM",15,10,NA,NA,43.29365,-79.85536,NA,NA,2022-06-09 19:29:00,2023-07-11 13:20:00,7.8,NA,NA,"VR2AR",69,548257,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"35","HAM-015","HAM",15,11,NA,NA,43.29365,-79.85536,NA,NA,2023-07-11 13:22:00,2024-06-13 14:25:00,6.6,NA,NA,"VR2AR",69,548265,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"36","HAM-015","HAM",15,12,NA,NA,43.29365,-79.85536,NA,NA,2024-06-13 14:34:00,2025-07-10 14:16:00,7,NA,NA,"VR2AR",69,548706,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"37","HAM-015","HAM",15,13,NA,NA,43.29365,-79.85536,NA,NA,2025-07-10 14:21:00,2025-10-21 13:04:00,6.4,1.5,NA,"VR2AR",69,552978,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025",TRUE
