Year,Month,Day,Hour,Minute,Second,"Temp, °C (S/N: 20343782)"
2023,6,15,18,0,0,18.224
2023,6,15,18,10,0,18.295
2023,6,15,18,20,0,18.319
2023,6,15,18,30,0,18.295
2023,6,15,18,40,0,18.438
2023,6,15,18,50,0,18.461
2023,6,15,19,0,0,18.343
2023,6,15,19,10,0,18.343
2023,6,15,19,20,0,18.366
2023,6,15,19,30,0,18.485
2023,6,15,19,40,0,18.533
2023,6,15,19,50,0,18.533
2023,6,15,20,0,0,18.485
2023,6,15,20,10,0,18.509
2023,6,15,20,20,0,18.414
2023,6,15,20,30,0,18.39
2023,6,15,20,40,0,18.414
2023,6,15,20,50,0,18.438
2023,6,15,21,0,0,18.461
2023,6,15,21,10,0,18.461
2023,6,15,21,20,0,18.461
2023,6,15,21,30,0,18.438
2023,6,15,21,40,0,18.461
2023,6,15,21,50,0,18.509
2023,6,15,22,0,0,18.485
2023,6,15,22,10,0,18.461
2023,6,15,22,20,0,18.485
2023,6,15,22,30,0,18.461
2023,6,15,22,40,0,18.461
2023,6,15,22,50,0,18.461
2023,6,15,23,0,0,18.461
2023,6,15,23,10,0,18.461
2023,6,15,23,20,0,18.438
2023,6,15,23,30,0,18.366
2023,6,15,23,40,0,18.319
2023,6,15,23,50,0,18.295
2023,6,16,0,0,0,18.343
2023,6,16,0,10,0,18.319
2023,6,16,0,20,0,18.343
2023,6,16,0,30,0,18.343
2023,6,16,0,40,0,18.39
2023,6,16,0,50,0,18.343
2023,6,16,1,0,0,18.366
2023,6,16,1,10,0,18.343
2023,6,16,1,20,0,18.319
2023,6,16,1,30,0,18.319
2023,6,16,1,40,0,18.319
2023,6,16,1,50,0,18.319
2023,6,16,2,0,0,18.319
2023,6,16,2,10,0,18.271
2023,6,16,2,20,0,18.295
2023,6,16,2,30,0,18.295
2023,6,16,2,40,0,18.295
2023,6,16,2,50,0,18.295
2023,6,16,3,0,0,18.271
2023,6,16,3,10,0,18.271
2023,6,16,3,20,0,18.271
2023,6,16,3,30,0,18.247
2023,6,16,3,40,0,18.224
2023,6,16,3,50,0,18.224
2023,6,16,4,0,0,18.247
2023,6,16,4,10,0,18.224
2023,6,16,4,20,0,18.224
2023,6,16,4,30,0,18.2
2023,6,16,4,40,0,18.2
2023,6,16,4,50,0,18.176
2023,6,16,5,0,0,18.176
2023,6,16,5,10,0,18.176
2023,6,16,5,20,0,18.152
2023,6,16,5,30,0,18.152
2023,6,16,5,40,0,18.129
2023,6,16,5,50,0,18.129
2023,6,16,6,0,0,18.129
2023,6,16,6,10,0,18.129
2023,6,16,6,20,0,18.105
2023,6,16,6,30,0,18.105
2023,6,16,6,40,0,18.081
2023,6,16,6,50,0,18.081
2023,6,16,7,0,0,18.081
2023,6,16,7,10,0,18.081
2023,6,16,7,20,0,18.081
2023,6,16,7,30,0,18.057
2023,6,16,7,40,0,18.057
2023,6,16,7,50,0,18.057
2023,6,16,8,0,0,18.057
2023,6,16,8,10,0,18.057
2023,6,16,8,20,0,18.057
2023,6,16,8,30,0,18.057
2023,6,16,8,40,0,18.057
2023,6,16,8,50,0,18.033
2023,6,16,9,0,0,18.033
2023,6,16,9,10,0,18.033
2023,6,16,9,20,0,18.033
2023,6,16,9,30,0,18.033
2023,6,16,9,40,0,18.033
2023,6,16,9,50,0,18.033
2023,6,16,10,0,0,18.033
2023,6,16,10,10,0,18.01
2023,6,16,10,20,0,18.01
2023,6,16,10,30,0,18.01
2023,6,16,10,40,0,18.01
2023,6,16,10,50,0,18.01
2023,6,16,11,0,0,18.01
2023,6,16,11,10,0,18.01
2023,6,16,11,20,0,18.01
2023,6,16,11,30,0,17.986
2023,6,16,11,40,0,17.986
